mood,mood_sorted
Sad,00. Angry
Angry,01. Angry
Anxious,02. Anxious
Confused,03. Confused
Pensive,04. Pensive
Bored,05. Bored
Tired,06. Tired
Intense,07. Intense
Pleading,08. Pleading
Chill,09. Chill
Hopeful,10. Hopeful
Silly,11. Silly
Happy,12. Happy
Excited,13. Excited
