number,date,title,location,topic,all instruments,main instrument,other instruments,mood,beard,genre,all styles,main style,other styles,noun,proper noun,length,inKey,tempo,videoID,layerorder,yearmonth,yearweek,datetimemonth,mood_sorted,score,location_grp,mood score
1,01.01.2009,In the Time of the Gods,Los Angeles,Poetic,Baritone Ukulele,Baritone Ukulele,,Pensive,Clean,Folk,"Delicate, Narrative, Myth",Delicate,"Narrative, Myth",,,156,C,61,https://youtu.be/v6Lk_OP4ZKc,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-00,01.01.2009,04. Pensive,,In-laws place,
2,02.01.2009,Hands (Oh No!),Los Angeles,Poetic,Baritone Ukulele,Baritone Ukulele,,Sad,Clean,Folk,Dark,Dark,,,,189,F,100,https://youtu.be/ojUAssDIqic,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-00,01.01.2009,00. Angry,-1,In-laws place,-1
3,03.01.2009,Who Do You Think You Are,Los Angeles,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Anxious,Clean,Electro,"Dark, Cheesy, Narrative, Funny",Dark,"Cheesy, Narrative, Funny",,,132,Am,110,https://youtu.be/tRrTEB50cCE,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-00,01.01.2009,02. Anxious,-1,In-laws place,-1
4,04.01.2009,Elegy for industry,Los Angeles,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Sad,Clean,Electro,"Dark, Narrative",Dark,Narrative,,,140,Em,130,https://youtu.be/57gN8EZJE2A,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-01,01.01.2009,00. Angry,-1,In-laws place,-1
5,05.01.2009,The Airport Song,Los Angeles,Airport,Baritone Ukulele,Baritone Ukulele,,Chill,Shadow,Folk,"Wistful, Personal, Travel",Wistful,"Personal, Travel",,,73,D,59,https://www.youtube.com/watch?v=kLzFYvZkX7c,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-01,01.01.2009,09. Chill,,In-laws place,
6,06.01.2009,It Must Be the Weather,NYC,Life,Baritone Ukulele,Baritone Ukulele,,Pensive,Clean,Blues,"Dark, Personal, Weather",Dark,"Personal, Weather",,,230,Gm,65,https://youtu.be/n3ckq1Pa64g,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-01,01.01.2009,04. Pensive,,NYC,
7,07.01.2009,"EGM, 1up, Goodbye",NYC,Video Games,Baritone Ukulele,Baritone Ukulele,,Sad,Shadow,Folk,"Dark, Personal",Dark,Personal,,,157,Em,96,https://www.youtube.com/watch?v=mzFyM0SCpOs,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-01,01.01.2009,00. Angry,-1,NYC,-1
8,08.01.2009,Boy for Boy's Sake,NYC,Poetic,Baritone Ukulele,Baritone Ukulele,,Pensive,Clean,Folk,Light,Light,,,,143,D,50,https://www.youtube.com/watch?v=qLjYVzYGg-M,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-01,01.01.2009,04. Pensive,,NYC,
9,09.01.2009,The Deutsch Positivity Anthem,NYC,Commission,Baritone Ukulele,Baritone Ukulele,,Happy,Clean,Electro,"Cheesy, Motivational",Cheesy,Motivational,,,179,Bb,170,https://youtu.be/pvweusx-cAk,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-01,01.01.2009,12. Happy,1,NYC,1
10,10.01.2009,The Three Rules of the internet,NYC,Internet,Baritone Ukulele,Baritone Ukulele,,Silly,Clean,Folk,"Funny, Nerd",Funny,Nerd,,,187,D,100,https://www.youtube.com/watch?v=GWSP2c9J8CQ,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-01,01.01.2009,11. Silly,1,NYC,1
11,11.01.2009,Song A DayAnthem,NYC,Song A Day,Baritone Ukulele,Baritone Ukulele,,Happy,Clean,Folk,"Fun, Personal, Motivational",Fun,"Personal, Motivational",,,189,D,85,https://www.youtube.com/watch?v=OfAITTY-CCU,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-02,01.01.2009,12. Happy,1,NYC,1
12,12.01.2009,Everyone's a Little Bit Queer,NYC,Social Justice,Baritone Ukulele,Baritone Ukulele,,Silly,Shadow,Folk,"Fun, Funny",Fun,Funny,,,303,B,80,https://www.youtube.com/watch?v=D5TMZc9gzt4,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-02,01.01.2009,11. Silly,1,NYC,1
13,13.01.2009,What Does It Mean to Love a Machine?,NYC,Sex,Baritone Ukulele,Baritone Ukulele,,Silly,Shadow,Folk,"Distortion, Raunchy, Funny",Distortion,"Raunchy, Funny",Robots,,285,Bm,102,https://youtu.be/rZTgmjwI0iw,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-02,01.01.2009,11. Silly,1,NYC,1
14,14.01.2009,I'm Drunk Because the Economy Sucks,NYC,Politics,Baritone Ukulele,Baritone Ukulele,,Drunk,Shadow,Folk,"Frustrated, Political",Frustrated,Political,Economy,,164,F#,35,https://www.youtube.com/watch?v=tzAz5HzjBsw,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-02,01.01.2009,,,NYC,
15,15.01.2009,"Get Well, Steve Jobs",NYC,Apple,Baritone Ukulele,Baritone Ukulele,,Sad,Shadow,Folk,Nerd,Nerd,,,Steve Jobs,238,F#,95,https://www.youtube.com/watch?v=NMw-E7tz2hM,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-02,01.01.2009,00. Angry,-1,NYC,-1
16,16.01.2009,Riding the Subway,NYC,Poetic,Baritone Ukulele,Baritone Ukulele,,Intense,Shadow,Folk,"Dark, Travel",Dark,Travel,Subway,,111,D#m,105,https://www.youtube.com/watch?v=ChcyufiBFOg,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-02,01.01.2009,07. Intense,,NYC,
17,17.01.2009,I'm So Tired of Capitalism,NYC,Social Justice,Baritone Ukulele,Baritone Ukulele,,Tired,Shadow,Folk,"Frustrated, Political",Frustrated,Political,"Capitalism, Economy",,126,D#m,112,https://www.youtube.com/watch?v=2fVvJkn-S9s,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-02,01.01.2009,06. Tired,,NYC,
18,18.01.2009,The Marks Sisters,Baltimore,Friend,Baritone Ukulele,Baritone Ukulele,,Chill,Clean,Jazz,"Rough, Personal",Rough,Personal,,,76,F,120,https://www.youtube.com/watch?v=betnMsatQYA,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-03,01.01.2009,09. Chill,,Traveling,
19,19.01.2009,Snow Day,Baltimore,Life,"Baritone Ukulele, Organ, Drums",Baritone Ukulele,"Organ, Drums",Silly,Clean,Rock,"Fun, Personal, Kids",Fun,"Personal, Kids",,,135,D,140,https://www.youtube.com/watch?v=rsZx9KBeVow,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-03,01.01.2009,11. Silly,1,Traveling,1
20,20.01.2009,Stars in Our Eyes,Baltimore,Politics,Organ,Organ,,Pensive,Clean,Latin,"Fun, Political",Fun,Political,,Obama,151,C,131,https://www.youtube.com/watch?v=K_qfUkUFc4E,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-03,01.01.2009,04. Pensive,,Traveling,
21,21.01.2009,Stay Out of My Body,NYC,Sick,Baritone Ukulele,Baritone Ukulele,,Tired,Clean,Folk,"Dark, Personal",Dark,Personal,,,193,Bbm,88,https://www.youtube.com/watch?v=Nf3bMujYhOU,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-03,01.01.2009,06. Tired,,NYC,
22,22.01.2009,Obama Makes Me Smile,NYC,Politics,Baritone Ukulele,Baritone Ukulele,,Silly,Clean,Folk,"Light, Political, Kids",Light,"Political, Kids",,Obama,59,G,86,https://www.youtube.com/watch?v=pEg-XLfxURQ,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-03,01.01.2009,11. Silly,1,NYC,1
23,23.01.2009,Barack Obama,NYC,Politics,Electric Guitar,Electric Guitar,,Happy,Shadow,Rock,"Distortion, Political",Distortion,Political,,Obama,116,A,104,https://www.youtube.com/watch?v=35rk9q3Z0N0,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-03,01.01.2009,12. Happy,1,NYC,1
24,24.01.2009,"Hello, Hello","Southington, CT",Poetic,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Shadow,Rock,"Cheesy, Silly",Cheesy,Silly,,,60,C,120,https://www.youtube.com/watch?v=7zekFoBg12I,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-03,01.01.2009,12. Happy,1,Family home,1
25,25.01.2009,Love Me a Little Bit More,"Jupiter, FL",Love,"Baritone Ukulele, Synths, Drum Machine",Baritone Ukulele,"Synths, Drum Machine",Sad,Shadow,Blues,"Dark, Personal, Relationships",Dark,"Personal, Relationships",,,250,Bm,70,https://www.youtube.com/watch?v=Mn1In11VTRs,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-04,01.01.2009,00. Angry,-1,Family home,-1
26,26.01.2009,Speaking Electricity,"Jupiter, FL",Poetic,"Baritone Ukulele, Synths, Drum Machine",Baritone Ukulele,"Synths, Drum Machine",Pensive,Shadow,Rock,Hopeful,Hopeful,,,,225,D,86,https://www.youtube.com/watch?v=uc-lNhjlOAA,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-04,01.01.2009,04. Pensive,,Family home,
27,27.01.2009,Up on the Mountain Top,"Jupiter, FL",Poetic,"Baritone Ukulele, Synths, Drum Machine",Baritone Ukulele,"Synths, Drum Machine",Pensive,Shadow,Rock,Hopeful,Hopeful,,,,233,D,110,https://www.youtube.com/watch?v=1lsfUAe8IGg,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-04,01.01.2009,04. Pensive,,Family home,
28,28.01.2009,The Fox and the Hen,"Jupiter, FL",Animals,"Synths, Drum Machine",Synths,Drum Machine,Silly,Clean,Electro,Silly,Silly,,"Fox, Bird, Chicken",,101,A,114,https://www.youtube.com/watch?v=0Sfg1VGZggw,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-04,01.01.2009,11. Silly,1,Family home,1
29,29.01.2009,You Know Yourself,"Jupiter, FL",Poetic,"Baritone Ukulele, Synths, Drum Machine",Baritone Ukulele,"Synths, Drum Machine",Intense,Clean,Electro,"Heavy, Cheesy",Heavy,Cheesy,,,155,G,100,https://www.youtube.com/watch?v=5VScsEbZw7k,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-04,01.01.2009,07. Intense,,Family home,
30,30.01.2009,Dark Days,"Jupiter, FL",Animals,"Baritone Ukulele, Synths, Drum Machine",Baritone Ukulele,"Synths, Drum Machine",Anxious,Clean,Rock,"Dark, Looming",Dark,Looming,,Meerkat,132,Bbm,106,https://www.youtube.com/watch?v=rPAbyLll7xM,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-04,01.01.2009,02. Anxious,-1,Family home,-1
31,31.01.2009,The Day That Google Crashed the internet,"Jupiter, FL",Internet,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Silly,Clean,Rock,Nerd,Nerd,,Google,,195,F,107,https://www.youtube.com/watch?v=3nH7RmupP8M,"Background, Location, Topic, Mood, Instrument, Beard",2009-01,2009-04,01.01.2009,11. Silly,1,Family home,1
32,01.02.2009,Go to Sleep,"Jupiter, FL",Poetic,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Pensive,Clean,Rock,"Dark, Dreams",Dark,Dreams,80s,,238,C,98,https://www.youtube.com/watch?v=W-ZnTEK_uos,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-05,01.02.2009,04. Pensive,,Family home,
33,02.02.2009,I Love Battlestar Galactica,"Jupiter, FL",Nerd,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Shadow,Electro,"Fun, Catchy",Fun,Catchy,"TV show, Sci-Fi",Battlestar,176,G,87,https://www.youtube.com/watch?v=xaStl18xyBc,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-05,01.02.2009,12. Happy,1,Family home,1
34,03.02.2009,(Just Sing) a Happy Song,"Jupiter, FL",Poetic,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Shadow,Rock,Cheesy,Cheesy,,,,113,D,94,https://www.youtube.com/watch?v=uJ_zAYuFeAs,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-05,01.02.2009,12. Happy,1,Family home,1
35,04.02.2009,Come Down Where You Ought to Be,Los Angeles,Poetic,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Pensive,Shadow,Rock,"Wistful, Narrative",Wistful,Narrative,,,149,A,74,https://www.youtube.com/watch?v=ZikADYAT0y8,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-05,01.02.2009,04. Pensive,,In-laws place,
36,05.02.2009,Scarlett Thomas,Los Angeles,Book,"Piano,Synths, Samples, Drum Machine",Piano,"ynths, Samples, Drum Machine",Chill,Shadow,Electro,"Delicate, Nerd",Delicate,Nerd,Book,Scarlett Thomas,155,C,68,https://www.youtube.com/watch?v=-cU3FfI8k2s,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-05,01.02.2009,09. Chill,,In-laws place,
37,06.02.2009,Water,Los Angeles,Nerd,"Piano, Synths, Samples, Drum Machine",Piano,"Synths, Samples, Drum Machine",Excited,Shadow,Rock,"Motivational, Educational",Motivational,Educational,Food,,41,F,110,https://www.youtube.com/watch?v=txF8ZlqJ6SI,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-05,01.02.2009,13. Excited,1,In-laws place,1
38,07.02.2009,Little Pink Boom Box,Los Angeles,Nerd,"Piano, Synths, Samples, Drum Machine",Piano,"Synths, Samples, Drum Machine",Silly,Shadow,Rock,Fun,Fun,,Boom box,,43,A,108,https://www.youtube.com/watch?v=uQCKB77Q0sg,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-05,01.02.2009,11. Silly,1,In-laws place,1
39,08.02.2009,Changing the Color of My Walls,Berkeley,Life,Acoustic Guitar,Acoustic Guitar,,Tired,Shadow,Jazz,"Fun, Personal, Moving",Fun,"Personal, Moving",,,50,A?,72,https://www.youtube.com/watch?v=1go4XooMVu4,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-06,01.02.2009,06. Tired,,Berkeley,
40,09.02.2009,The Ballad of Stimulus Jones,Berkeley,Politics,Acoustic Guitar,Acoustic Guitar,,Silly,Shadow,Folk,Political,Political,,"Economy, Capitalism",,62,C,112,https://www.youtube.com/watch?v=0bA0ZAGpmfc,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-06,01.02.2009,11. Silly,1,Berkeley,1
41,10.02.2009,Wolf of the Battlefield,Berkeley,Video Games,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Silly,Clean,Rock,Nerd,Nerd,,NES,,119,E,92,https://www.youtube.com/watch?v=yoAZEsEvSoM,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-06,01.02.2009,11. Silly,1,Berkeley,1
42,11.02.2009,42,Berkeley,Song A Day,"Electric Guitar, Synths, Drum Machine",Electric Guitar,"Synths, Drum Machine",Silly,Shadow,Rock,Distortion,Distortion,,Nerd,,46,Am,139,https://www.youtube.com/watch?v=hzH4198ShGU,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-06,01.02.2009,11. Silly,1,Berkeley,1
43,12.02.2009,Sanae's Birthday Song,Berkeley,Commission,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Happy,Shadow,Rock,Personal,Personal,,Birthday,,56,F,97,https://www.youtube.com/watch?v=wHBVLYJ8N44,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-06,01.02.2009,12. Happy,1,Berkeley,1
44,13.02.2009,Rock and Roll Cats,Berkeley,Nerd,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Silly,Clean,Hip Hop,"Heavy, Silly",Heavy,Silly,"Cats, Collab",Ross Copeland,111,Fm,103,https://www.youtube.com/watch?v=kfVH3veC7-s,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-06,01.02.2009,11. Silly,1,Berkeley,1
45,14.02.2009,The Rain Returned,Berkeley,Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Clean,Folk,"Narrative, Nerd",Narrative,Nerd,Multiple Universe,,132,Bbm/Am/Bb?,63,https://www.youtube.com/watch?v=ZPeqoThRlPg,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-06,01.02.2009,04. Pensive,,Berkeley,
46,15.02.2009,The Legend of Zelda: Overworld,Berkeley,Video Games,"Acoustic Guitar, Electric Guitar, Bass, Drum Machine",Acoustic Guitar,"Electric Guitar, Bass, Drum Machine",Pensive,Clean,Rock,"Dark, Narrative, Nerd",Dark,"Narrative, Nerd",,"NES, Zelda",179,Gm,66,https://www.youtube.com/watch?v=Xg7_pvCbp8g,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-07,01.02.2009,04. Pensive,,Berkeley,
47,16.02.2009,LifeForce,Berkeley,Video Games,"Electric Guitar, Drum Machine",Electric Guitar,Drum Machine,Excited,Clean,Electro,"Dark, Nerd",Dark,Nerd,,"NES, LifeForce",100,Gm,82,https://www.youtube.com/watch?v=FTtnC_PFBf8,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-07,01.02.2009,13. Excited,1,Berkeley,1
48,17.02.2009,Mummy's on Campus,Berkeley,Commission,"Electric Guitar, Drum Machine",Electric Guitar,Drum Machine,Pensive,Clean,Rock,"Cheesy, 80s",Cheesy,80s,,,232,Eb,88,https://www.youtube.com/watch?v=QxIin3LKmKc,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-07,01.02.2009,04. Pensive,,Berkeley,
49,18.02.2009,Get Up off of Your Ass (And Just Do Something),Berkeley,Politics,"Electric Guitar, Drum Machine",Electric Guitar,Drum Machine,Excited,Clean,Rock,"Cheesy, 80s, Political, Motivational",Cheesy,"80s, Political, Motivational",,,146,D,131,https://www.youtube.com/watch?v=GUTFXxi1TEw,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-07,01.02.2009,13. Excited,1,Berkeley,1
50,19.02.2009,One of the Lucky Ones,Oakland,Poetic,Electric Guitar,Electric Guitar,,Pensive,Shadow,Rock,"Wistful, Narrative",Wistful,Narrative,,,152,A,76,https://youtu.be/W12UsLNacJE,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-07,01.02.2009,04. Pensive,,Berkeley,
51,20.02.2009,Your Mother Doesn't Love You Anymore (An Extrasolar Anthem),Berkeley,Nerd,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Silly,Shadow,Rock,80s,80s,,,,150,D,112,https://www.youtube.com/watch?v=mr_Nb4zzsXQ,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-07,01.02.2009,11. Silly,1,Berkeley,1
52,21.02.2009,Zombie Ponies,Berkeley,Animals,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Silly,Clean,Rock,"Fun, Nerd",Fun,Nerd,"Zombies, Pony",,54,Bbm,160,https://www.youtube.com/watch?v=qycQVQEWpqQ,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-07,01.02.2009,11. Silly,1,Berkeley,1
53,22.02.2009,Geriatrics in Drag,Berkeley,Commission,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Silly,Shadow,Rock,"80s, Silly",80s,Silly,,,60,Am,160,https://www.youtube.com/watch?v=rEI2bO4t_wU,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-08,01.02.2009,11. Silly,1,Berkeley,1
54,23.02.2009,Let's All Go to the Lobby (Fuck That!),Berkeley,Commission,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Angry,Shadow,Rock,"Distortion, Angry, Nerd",Distortion,"Angry, Nerd",,,150,F,150,https://www.youtube.com/watch?v=aTaQTcm2jqk,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-08,01.02.2009,01. Angry,-1,Berkeley,-1
55,24.02.2009,BigFaceSmallFace,Berkeley,Kids,"Piano, Synths, Samples, Drum Machine",Piano,"Synths, Samples, Drum Machine",Silly,Shadow,Rock,"Cheesy, Silly",Cheesy,Silly,,,71,F#,100,https://www.youtube.com/watch?v=_Xn-77ao7zA,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-08,01.02.2009,11. Silly,1,Berkeley,1
56,25.02.2009,Co-op Theme Song,Berkeley,Video Games,"Electric Guitar, Drum Machine",Electric Guitar,Drum Machine,Pensive,Clean,Rock,"Motivational, Love, Nerd",Motivational,"Love, Nerd",,,113,D,200,https://www.youtube.com/watch?v=NoSjW9H7bZo,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-08,01.02.2009,04. Pensive,,Berkeley,
57,26.02.2009,All My Friends Are Dinosaurs,Berkeley,Instrumental,"Samples, Electric Guitar, Drum Machine",Samples,"Electric Guitar, Drum Machine",Pensive,Clean,Ambient,Dreamy,Dreamy,,,,280,D/G?,85,https://www.youtube.com/watch?v=VXju0WFRpyA,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-08,01.02.2009,04. Pensive,,Berkeley,
58,27.02.2009,Marilyn Langois,Berkeley,Commission,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Clean,Rock,"Fun, Personal, Silly",Fun,"Personal, Silly","Friend, Birthday",,70,C,120,https://www.youtube.com/watch?v=87LQ-ShXf6Q,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-08,01.02.2009,12. Happy,1,Berkeley,1
59,28.02.2009,Shamus and Precious,Oakland,Life,Baritone Ukulele,Baritone Ukulele,,Sad,Clean,Folk,"Dark, Rough, Personal, Narrative",Dark,"Rough, Personal, Narrative",,,68,Bm,72,https://www.youtube.com/watch?v=LMFfytNSRDU,"Background, Location, Topic, Mood, Instrument, Beard",2009-02,2009-08,01.02.2009,00. Angry,-1,Berkeley,-1
60,01.03.2009,2100 California St.,Berkeley,Life,"Piano, Synths, Samples, Drum Machine",Piano,"Synths, Samples, Drum Machine",Happy,Clean,Rock,"Personal, Silly, Nerd",Personal,"Silly, Nerd",,,76,F,97,https://www.youtube.com/watch?v=FmxAGQ1ioyc,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-09,01.03.2009,12. Happy,1,Berkeley,1
61,02.03.2009,Knock Knock,Berkeley,Poetic,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Silly,Clean,Rock,"Dark, Silly",Dark,Silly,,,58,Dm,120,https://www.youtube.com/watch?v=m_A-rD7txSQ,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-09,01.03.2009,11. Silly,1,Berkeley,1
62,03.03.2009,I'm the Same As I Ever Was,Berkeley,Poetic,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Pensive,Clean,Electro,Dark,Dark,,,,39,Bm,115,https://www.youtube.com/watch?v=ZrR53d-OuQQ,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-09,01.03.2009,04. Pensive,,Berkeley,
63,04.03.2009,Teddy Bear Revolution,Berkeley,Kids,"Organ, Piano, Drum Machine",Organ,"Piano, Drum Machine",Angry,Clean,Rock,"Anthem, Silly, Nerd, Animals",Anthem,"Silly, Nerd, Animals","Bear, Teddy Bear",,90,C,60,https://www.youtube.com/watch?v=oFS4CSnL2uU,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-09,01.03.2009,01. Angry,-1,Berkeley,-1
64,05.03.2009,The Spyders,Berkeley,Commission,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Clean,Rock,"Friend, Silly, Personal",Friend,"Silly, Personal",,,90,Bb,90,https://www.youtube.com/watch?v=rmWP7D7BHoM,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-09,01.03.2009,12. Happy,1,Berkeley,1
65,06.03.2009,Tetris: a History in Song,Berkeley,Video Games,Acoustic Guitar,Acoustic Guitar,,Intense,Clean,Folk,"Funny, Nerd, History, Educational",Funny,"Nerd, History, Educational","NES, Tetris, Alexey Pajitnov",,221,G#m,130,https://www.youtube.com/watch?v=34bYJDNS6Zo,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-09,01.03.2009,07. Intense,,Berkeley,
66,07.03.2009,Night,Berkeley,Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Clean,Folk,Delicate,Delicate,,,,139,E,105,https://www.youtube.com/watch?v=BMobOOV0928,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-09,01.03.2009,04. Pensive,,Berkeley,
67,08.03.2009,"Zombie Rights, Zombie Dance",Berkeley,Nerd,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Silly,Clean,Rock,"Funny, Nerd",Funny,Nerd,Zombie,,85,C,110,https://www.youtube.com/watch?v=40rCqT_v3hU,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-10,01.03.2009,11. Silly,1,Berkeley,1
68,09.03.2009,A Ringtone for Ivory King,Berkeley,Ringtone,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Silly,Shadow,Rock,Personal,Personal,,Ringtone,,30,C,170,https://www.youtube.com/watch?v=zszgC2VeVBA,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-10,01.03.2009,11. Silly,1,Berkeley,1
69,10.03.2009,"Oh, It's Probably Time",Berkeley,Contest,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Chill,Clean,Rock,"Anthem, Wistful",Anthem,Wistful,,,48,G,80,https://www.youtube.com/watch?v=VVoVAyXEJ68,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-10,01.03.2009,09. Chill,,Berkeley,
70,11.03.2009,Can We Kick It With Kikkoman (Of Course We Can!),Berkeley,Contest,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Silly,Clean,Rock,Fun,Fun,,"Bear, Company, Teddy Bear",Kikkoman,61,C,120,https://www.youtube.com/watch?v=60-83hmpjDw,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-10,01.03.2009,11. Silly,1,Berkeley,1
71,12.03.2009,And They Call It natural,Berkeley,Commission,"Electric Guitar, Synths, Samples, Drum Machine",Electric Guitar,"Synths, Samples, Drum Machine",Sad,Shadow,Rock,Wistful,Wistful,,,,119,C,60,https://www.youtube.com/watch?v=c23PUpoZ9hE,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-10,01.03.2009,00. Angry,-1,Berkeley,-1
72,13.03.2009,Penguins Having a Party (2009),Berkeley,Animals,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Shadow,Rock,"Anthem, Silly, Nerd",Anthem,"Silly, Nerd",Penguins,,104,C,106,https://www.youtube.com/watch?v=QGTEGVtoXyA,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-10,01.03.2009,12. Happy,1,Berkeley,1
73,14.03.2009,nano nano Nightmare,Berkeley,Contest,"Synths, Drum Machine",Synths,Drum Machine,Silly,Clean,Rock,"Contest, Narrative, Silly",Contest,"Narrative, Silly",Robots,,107,C,105,https://www.youtube.com/watch?v=Pwf3dZSwjuk,"Background, Location, Topic, Mood, Instrument, Beard",2009-03,2009-10,01.03.2009,11. Silly,1,Berkeley,1
